------------------------------------------------------------------------------------------------- Source: sample1.mfc --------------------------------------------------------------------------------------------------
  Sample Bytes:  104      Sample Kind:   MFCC_D_Z_0
  Num Comps:     26       Sample Period: 10000.0 us
  Num Samples:   1032     File Format:   HTK
------------------------------------------------------------------------------------------------ Observation Structure -------------------------------------------------------------------------------------------------
x:      MFCC-1  MFCC-2  MFCC-3  MFCC-4  MFCC-5  MFCC-6  MFCC-7  MFCC-8  MFCC-9 MFCC-10 MFCC-11 MFCC-12      C0   Del-1   Del-2   Del-3   Del-4   Del-5   Del-6   Del-7   Del-8   Del-9  Del-10  Del-11  Del-12   DelC0
--------------------------------------------------------------------------------------------------- Samples: 0->200 ----------------------------------------------------------------------------------------------------
55:     10.600  12.109  13.524   2.087 -12.841  -7.422   0.461  11.829   6.837  -2.148   5.551   0.482   4.426  -1.427  -0.062  -1.276   0.854   0.202   0.482   4.180   1.045  -1.009   4.480   0.307  -0.423  -1.590
56:      9.945  11.428  12.314   2.101 -11.297  -8.000   4.080  11.617   5.124   0.470   4.552  -1.276   3.742  -2.029  -0.044  -1.846   0.497   1.269   1.256   2.366  -0.418  -0.263   4.473   0.041  -0.017  -1.899
57:      7.994  13.228  11.264   0.846 -12.405  -3.766   2.324  10.873  10.058   6.942   3.789  -0.292   0.925  -2.267  -0.061  -1.345  -0.930   1.135   2.717   0.176  -2.180  -0.164   2.547  -0.675   0.308  -1.919
58:      4.080  11.835   7.326  -1.508  -8.226   2.073   3.037   7.414  10.345   9.882   3.414  -1.121  -1.275  -2.530  -0.489  -0.773  -0.453   1.396   2.758  -0.431  -2.451  -0.522   1.481  -0.262   0.574  -1.736
59:      2.199  11.600   9.293  -0.759  -8.700   1.126   1.860   3.030   3.407   5.882   2.743   1.946  -2.660  -2.102  -0.926  -0.675  -0.566   1.342   1.076  -0.714  -2.146  -0.625   0.636  -0.697   0.135  -1.171
60:      0.194   9.797   9.436   0.639  -6.169   3.341   2.154   3.285   5.839   8.406   3.764   0.475  -3.147  -1.455  -0.711  -0.381  -0.592   0.024   0.085  -0.557  -1.612  -1.049   0.046  -0.812   0.185  -0.829
61:     -0.575   9.617   6.836  -3.060  -6.721   0.979  -0.804   2.206   9.184  10.863   0.127  -0.414  -3.993  -1.231  -0.847  -0.748   0.143   0.314  -0.650  -0.904  -0.657  -0.133   0.348  -0.753  -0.616  -0.774
62:     -1.809   9.272   6.650  -3.320  -9.095   2.569   1.584  -0.235   2.212   7.620   0.662   0.987  -4.753  -1.329  -1.414  -1.057   0.780   0.647  -0.990  -0.859  -0.714  -0.538  -0.520  -0.088   0.322  -0.801
63:     -2.955   7.627   6.944   1.937  -5.667  -1.736  -2.375   1.506   4.555   8.015   0.530  -1.388  -5.725  -1.629  -1.871  -1.131   1.130   0.973  -0.069   0.604  -0.421  -1.209  -1.541   0.438   0.435  -0.869
64:     -5.259   3.723   4.098   2.041  -3.462  -0.253  -1.356   0.065   5.462   7.227   3.122   2.571  -6.286  -1.638  -2.038  -1.649   0.194   1.107   0.465   0.389  -0.470  -0.574  -0.065   1.098  -0.086  -0.811
65:     -6.995   3.037   2.455  -0.092  -4.672   2.048   3.687  -0.049   1.516   3.352   1.087   0.970  -7.572  -1.505  -1.805  -1.620  -0.887   0.658   2.308   0.955  -1.169  -1.428  -0.436   0.281   0.112  -0.709
66:     -7.979   1.377   0.649  -1.334  -4.059   3.001   0.496  -1.806   0.862   9.628   5.874  -0.621  -7.882  -0.862  -0.823  -0.853  -0.588   0.476   1.777   0.612   0.306   0.425   0.405  -0.954  -0.771  -0.518
67:     -9.119  -0.223   0.569  -0.810  -2.078   8.175   1.475  -3.406  -0.284   4.635   0.562   0.770  -8.472  -0.340  -0.518  -0.568  -0.038   0.424   1.016  -0.281   0.841   0.925   0.171  -0.536   0.220  -0.163
68:     -8.508   1.238   0.777  -0.541  -2.379   5.566   2.811   3.276   8.486   8.610  -1.385  -1.185  -8.423  -0.126  -0.374  -0.792  -0.274  -0.161   0.339   0.696   0.994   0.555  -1.155  -1.210   1.064  -0.104
69:     -8.429   0.515  -0.451  -0.681  -3.390   5.847   1.126   1.616   2.328   4.716   2.035   2.350  -8.116  -0.194  -0.289  -0.560  -0.747  -0.495  -0.463   1.030   0.989   0.360   0.162   0.548   0.592  -0.107
70:     -8.955  -0.864  -2.803  -2.770  -4.206   5.857   4.151   0.654   2.331   3.813  -0.914   3.909  -8.580  -0.508  -0.173  -0.590  -0.909   0.394   0.003   1.583  -0.501   0.025  -0.561   0.360   0.306  -0.123
71:     -9.865  -0.619  -0.440  -3.431  -3.640   5.714   5.956   2.851   4.596   7.843   3.065   1.183  -8.929  -0.262   0.208   0.175   0.381   1.632   0.930   1.127   0.250   1.053  -0.347  -0.906  -1.656  -0.147
72:    -10.330   0.938  -2.179  -3.708  -0.286   5.647   8.312   0.154   7.477   4.243  -0.097   0.930  -8.629   0.025   0.287   0.164   0.715   0.851  -0.141  -0.919   0.289   0.381  -0.141  -1.274  -2.216  -0.127
73:     -9.054   0.652   0.115   1.694   2.808  10.602   4.682   3.114   5.019   2.768  -2.902  -4.442  -8.826   0.175   0.030  -0.441   0.331  -0.584  -0.748  -0.920   0.360  -0.680  -0.576  -1.564  -1.063  -0.085
74:     -9.237  -0.063  -2.261  -1.757  -3.177   2.709   0.192   1.968   4.023   5.644  -4.300  -4.356  -9.268   0.199  -0.041   0.233  -0.098  -1.180  -0.971  -1.412  -0.255  -2.028  -0.122  -0.410   0.488  -0.128
